game,keywords
Grand Theft Auto V,GTA
Pokemon,Pokemon
Call of Duty,CoD
Gears of War,Gears
Super Smash,Smash
Monster Hunter,Monster Hunter
Star Wars,Star Wars
Sims,Sims
Mario,Mario
Kingdom Hearts,KH
Bioshock,Bioshock
Fire Emblem,Fire Emblem
Metal Gear,MGS
Madden,Madden
Naruto,Naruto
WWE,WWE
Tom Clancy's,Tom Clancy's
Pokken,Pokken
Assassin's Creed,Assassin's Creed
Final Fantasy,Final Fantasy
Mortal Kombat,Mortal Kombat
Donkey Kong,Donkey Kong
Starcraft,Starcraft
Warcraft,"WoW,Warcraft"
NBA,NBA
Dragon Ball,Dragonball
Marvel,Marvel
Street Fighter,"Street Fighter,SFV"
Batman,Batman
Persona,Persona
Zelda,Zelda
Sonic,Sonic
Tomb Raider,Tomb Raider
Halo,Halo
Elder Scrolls,Elder Scrolls
Kirby,Kirby
Red Dead,Red Dead
Guitar Hero,Guitar Hero
Witcher,Witcher
Civilization,"Civilization,Civ"
Bioshock,Bioshock
Tales of,Tales of
Castlevania,Castlevania
Resident Evil,Resident Evil
Devil May Cry,DMC
