Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date,mentions before,total posts before,normalized mentions before,upvotes before,mentions after,total posts after,normalized mentions after,upvotes after
Kinect Adventures!,Xbox 360,2010,Misc,Microsoft Game Studios,30,9.78,0.48,3.38,43.62,61,90,6.3,212,Good Science Studio,E,Kinect Adventures!,11/4/2010,1,11812,8.47E-05,0,5,14316,0.00034926,5
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,23.7,23.32,2.02,9.33,58.35,97,158,8.166666667,11699,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",9/17/2013,4139,51787,0.079923533,242380,8879,45095,0.196895443,417227
Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,24.03,15.19,0.75,4.53,44.5,85.5,227,3.125,28324,"Infinity Ward, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3",11/8/2011,744,39780,0.018702866,7774,1111,44288,0.025085802,10434
Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,26.69,12.22,0.7,4.21,43.8,83.2,274,6.16,4143,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD",11/9/2010,370,12211,0.030300549,5790,1030,14450,0.071280277,10813
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,19.07,16.57,1.37,6.18,43.19,80.8,157,5.3,5963,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II",11/13/2012,462,45426,0.010170387,8942,639,49978,0.012785626,20107
Mario Kart 7,3DS,2011,Racing,Nintendo,10.06,8.04,5.38,1.82,25.32,85,146,8.2,1264,"Retro Studios, Entertainment Analysis & Development Division",E,"Mario Kart 7,Mario,Mario Kart",12/4/2011,532,45959,0.011575535,16729,359,40910,0.008775361,13013
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,10.73,14.81,0.76,4.41,30.7,97,146,8.166666667,6562,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",11/18/2014,103,29614,0.003478085,3510,111,29930,0.003708654,1674
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,8.7,6.98,6.2,1.48,23.36,nan,nan,nan,nan,nan,nan,"Pokemon Omega Ruby/Pokemon Alpha Sapphire,Pokemon",11/21/2014,9,30140,0.000298607,8,0,29543,0,0
Super Mario 3D Land,3DS,2011,Platform,Nintendo,9.78,6,4.28,1.56,21.62,90,164,8.4,1842,Nintendo,E,"Super Mario 3D Land,Mario",11/13/2011,17,46217,0.00036783,20,0,39159,0,0
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,5.92,9.64,1.62,4.22,21.4,84,164,7.5,2224,Polyphony Digital,E,"Gran Turismo 5,Gran Turismo",11/24/2010,92,13043,0.007053592,994,124,15638,0.007929403,934
Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,21.67,11.45,0.52,3.99,37.65,nan,nan,nan,nan,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013,794,40860,0.019432208,26682,2070,53064,0.039009498,61867
Just Dance 3,Wii,2011,Misc,Ubisoft,13.7,6.81,0,2.37,22.88,73.25,69,7.325,56,Ubisoft,E10+,"Just Dance 3,Just Dance",10/7/2011,2,28524,7.01E-05,1,10,36164,0.000276518,9
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,7.32,6.28,4.94,1.26,19.8,78,140,7.2,848,Nintendo,E,"New Super Mario Bros. 2,New Super Mario Bros.,Mario",8/17/2012,12,51297,0.000233932,23,41,45361,0.00090386,1134
Halo: Reach,Xbox 360,2010,Shooter,Microsoft Game Studios,14.08,3.9,0.16,1.58,19.72,91,198,7.9,4090,Bungie,M,"Halo,Reach,Halo: Reach",9/14/2010,335,11119,0.030128609,1572,411,11523,0.035667795,5253
Halo 4,Xbox 360,2012,Shooter,Microsoft Game Studios,13.3,4.56,0.08,1.48,19.42,87,174,7,6520,343 Industries,M,"Halo,Halo 4",11/6/2012,1216,43388,0.028026182,49712,2100,50133,0.041888576,107012
Just Dance 2,Wii,2010,Misc,Ubisoft,11.6,5.7,0.02,1.56,18.88,74,48,7.3,48,Ubisoft,E10+,"Just Dance,Just Dance 2",10/12/2010,1,11523,8.68E-05,1,3,12211,0.00024568,2
The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,13.81,10.3,0.45,3.3,27.87,94.5,226,7.825,18778,Bethesda Game Studios,M,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V",11/11/2011,2514,44202,0.056875255,37084,6873,40340,0.170376797,183854
FIFA 16,PS4,2015,Sports,Electronic Arts,4.17,17.21,0.17,3.33,24.87,nan,nan,3.916666667,2650,EA Sports,E,"FIFA,FIFA 16",9/22/2015,259,32336,0.008009649,3400,230,31009,0.007417201,6232
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,3.69,14.89,0.31,4.81,23.68,nan,nan,5.075,1490,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012,1,45302,2.21E-05,1,8,40989,0.000195174,128
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,5.58,3.44,6.28,0.82,16.14,nan,nan,nan,nan,nan,nan,"Pokemon Black 2/Pokemon White 2,Pokemon,Pokemon Black 2/Pokemon White",10/12/2012,373,44208,0.008437387,22017,257,43868,0.005858485,24941
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,8.15,8.64,0.46,2.92,20.17,nan,nan,nan,nan,nan,nan,"Star Wars Battlefront (2015),Star Wars,Star Wars Battlefront",11/17/2015,342,40102,0.008528253,27614,654,36181,0.018075786,27216
FIFA 17,PS4,2016,Sports,Electronic Arts,1.87,14.38,0.19,2.52,18.94,nan,nan,4.1,1041,"EA Sports, EA Vancouver",E,"FIFA,FIFA 17",9/27/2016,219,34922,0.006271118,1056,268,38675,0.006929541,4709
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.12,4.7,1.96,1.24,15.02,97,174,9.1,3708,Nintendo EAD Tokyo,E,"Super Mario Galaxy,Super Mario Galaxy 2,Mario",5/23/2010,209,10740,0.019459963,5605,254,10764,0.023597176,8597
Battlefield 3,Xbox 360,2011,Shooter,Electronic Arts,12.66,8.54,0.47,2.92,24.59,85.5,213,7.45,10971,EA DICE,M,"Battlefield 3,Battlefield",10/25/2011,1454,31619,0.045985009,32299,1476,48583,0.030380997,25257
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,8.08,8.53,0.49,2.74,19.83,86.5,193,6.15,17717,Bethesda Game Studios,M,"Fallout 4,Fallout",11/10/2015,2411,35933,0.067097097,214817,6915,40196,0.172032043,539257
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,5.96,2.9,4.52,0.9,14.28,nan,nan,nan,nan,nan,nan,"Pokemon,Pokemon Sun/Moon",11/18/2016,301,45964,0.006548603,40484,424,45023,0.009417409,116810
Just Dance 4,Wii,2012,Misc,Ubisoft,9.47,4.75,0,1.28,15.5,73.6,62,7.44,158,Ubisoft,E10+,"Just Dance 4,Just Dance",10/9/2012,8,44703,0.000178959,1268,9,43388,0.000207431,90
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,5.54,5.5,0.38,2.06,13.48,92,194,8.3,7424,Naughty Dog,T,"Uncharted 3,Drake's Deception,Uncharted 3: Drake's Deception",11/1/2011,11,34178,0.000321844,29,16,47416,0.000337439,113
FIFA 12,PS3,2011,Sports,Electronic Arts,2.91,12.72,0.26,3.7,19.62,nan,nan,nan,nan,nan,nan,"FIFA,FIFA 12",9/27/2011,44,29198,0.001506953,940,107,31619,0.003384041,3007
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,9.28,7.01,0.43,2.56,19.3,95,242,8.866666667,7228,Rockstar San Diego,M,"Red Dead,Red Dead Redemption",5/18/2010,108,10941,0.009871127,1522,306,10416,0.02937788,2351
Assassin's Creed III,PS3,2012,Action,Ubisoft,8.41,6.73,0.35,2.68,18.19,84.66666667,143,6.833333333,3810,Ubisoft,M,"Assassin's Creed,Assassin's Creed III",10/30/2012,300,41853,0.007167945,17147,585,49845,0.011736383,31133
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.34,3.58,2.06,0.92,12.88,87,154,8.6,736,Retro Studios,E,"Donkey Kong,Donkey Kong Country Returns",11/21/2010,21,12923,0.00162501,170,38,15236,0.002494093,238
Gears of War 3,Xbox 360,2011,Shooter,Microsoft Game Studios,8.1,3.18,0.14,1,12.42,91,192,7.8,3008,Epic Games,M,"Gears of War 3,Gears of War,Gears",9/20/2011,210,30751,0.006829046,1049,347,28739,0.012074185,4691
Kinect Sports,Xbox 360,2010,Sports,Microsoft Game Studios,7.84,3.46,0.06,1.02,12.38,73,102,7.4,190,Rare Ltd.,E10+,Kinect Sports,10/9/2010,0,11789,0,0,4,11859,0.000337297,20
FIFA 15,PS4,2014,Sports,Electronic Arts,3.89,16.08,0.19,3,23.14,nan,nan,4.4125,2606,EA Sports,E,"FIFA,FIFA 15",9/23/2014,110,27915,0.003940534,226,242,26444,0.009151414,1639
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,4.82,4.36,0.56,1.98,11.74,95,196,9.1,16006,Naughty Dog,M,The Last of Us,6/14/2013,482,77845,0.006191791,25995,3233,75842,0.042628095,185781
Destiny,PS4,2014,Shooter,Activision,9.11,6.05,0.44,2.58,18.19,nan,nan,5.38,13444,"Bungie Software, Bungie",T,Destiny,9/9/2014,477,30176,0.015807264,14042,1852,26546,0.06976569,73662
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,8.41,4.97,0.26,2.04,15.69,95.33333333,171,8.633333333,5796,Rocksteady Studios,T,"Batman,Batman: Arkham City,Arkham City",10/18/2011,248,28739,0.008629389,2449,620,47876,0.012950121,6343
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,3.7,5,0.38,1.7,10.76,93,226,7.9,14128,Naughty Dog,T,"A Thief's End,Uncharted 4: A Thief's End,Uncharted 4",5/10/2016,160,35643,0.00448896,6427,103,37305,0.002761024,95
New Super Mario Bros. U,Wii U,2012,Platform,Nintendo,4.6,2.68,2.54,0.64,10.44,84,140,8.1,1466,Nintendo,E,"Mario,New Super Mario Bros. U",11/18/2012,500,47446,0.010538296,43238,0,48637,0,0
Diablo III,Windows,2012,Role-Playing,Activision,4.88,4.32,0,1.08,10.28,88,172,4,19258,Blizzard Entertainment,M,"Diablo III,Diablo",5/15/2012,387,45213,0.008559485,12375,3637,47782,0.076116529,79904
Fable III,Xbox 360,2010,Role-Playing,Microsoft Game Studios,7.18,2.16,0.1,0.76,10.2,80,176,6.5,1208,Lionhead Studios,M,"Fable,Fable III",10/26/2010,61,11587,0.005264521,1865,119,12925,0.009206963,793
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,2.56,11.11,0.15,3.56,17.39,nan,nan,6.114285714,nan,EA Sports,E,"FIFA Soccer,FIFA Soccer 11",9/28/2010,2,11797,0.000169535,9,8,11587,0.000690429,6
StarCraft II: Wings of Liberty,Windows,2010,Strategy,Activision,5.14,3.36,0,1.16,9.68,93,164,8.2,6104,Blizzard Entertainment,T,"StarCraft II,StarCraft II: Wings of Liberty,Wings of Liberty",7/27/2010,15,10629,0.001411233,15,173,10224,0.01692097,1804
God of War III,PS3,2010,Action,Sony Computer Entertainment,5.48,2.66,0.24,1.22,9.6,92,202,8.7,5266,SCE Santa Monica,M,"God of War,God of War III",3/16/2010,116,10732,0.010808796,584,0,11011,0,0
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,3.6,2.78,2.22,0.58,9.18,86,148,8.4,916,Next Level Games,E,"Dark Moon,Luigi's Mansion,Luigi's Mansion: Dark Moon",3/24/2013,19,48188,0.000394289,397,44,48711,0.000903287,1677
Forza Motorsport 4,Xbox 360,2011,Racing,Microsoft Game Studios,4.16,3.94,0.12,0.92,9.14,91,166,8.2,1234,Turn 10,E,"Forza Motorsport,Forza Motorsport 4",10/13/2011,33,28485,0.001158504,264,23,42652,0.000539248,22
Halo 5: Guardians,Xbox One,2015,Shooter,Microsoft Game Studios,5.56,2.54,0.06,0.82,8.96,84,202,6.4,4876,343 Industries,T,"Halo,Halo 5: Guardians,Halo 5,Guardians",10/27/2015,69,31978,0.002157733,391,670,41970,0.015963784,49596
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.72,4.82,0.3,1.65,11.48,76.25,197,3.225,2988,Infinity Ward,M,"Infinite Warfare,Call of Duty: Infinite Warfare,CoD,Call of Duty",11/4/2016,328,42264,0.007760742,8651,784,47068,0.016656752,36204
Splatoon,Wii U,2015,Shooter,Nintendo,3.08,2.36,2.92,0.52,8.86,81,176,8.5,2368,Nintendo,E10+,Splatoon,5/29/2015,90,30679,0.002933603,485,169,38154,0.004429418,22709
Nintendo Land,Wii U,2012,Misc,Nintendo,5.04,2.22,0.92,0.66,8.84,77,122,7.9,942,Nintendo,E10+,Nintendo Land,11/18/2012,0,47446,0,0,0,48637,0,0
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,5.6,2.71,0.02,0.82,9.12,nan,nan,7.35,73,"Ubisoft Paris, Ubisoft Montpellier",E10+,"The Experience,Michael Jackson,Michael Jackson: The Experience",11/6/2010,35,11859,0.002951345,339,34,14469,0.002349851,586
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,2.96,4.04,0.28,1.36,8.64,nan,nan,nan,nan,nan,nan,Minecraft,9/4/2014,360,30577,0.011773555,7940,0,26994,0,0
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,5.07,5.49,0.24,1.83,12.63,80,155,7.4,1790,Ubisoft Montreal,M,"Assassin's Creed: Revelations,Assassin's Creed,Revelations",11/15/2011,164,47876,0.003425516,2102,149,38159,0.003904714,1706
Battlefield 1,PS4,2016,Shooter,Electronic Arts,3.59,5.31,0.42,1.45,10.79,87.75,153,8.15,3195,EA DICE,M,"Battlefield,Battlefield 1",10/21/2016,733,37409,0.019594215,32722,0,45964,0,0
Fallout: New Vegas,Xbox 360,2010,Role-Playing,Bethesda Softworks,7.43,3.54,0.18,1.26,12.38,83.5,258,8.15,4784,Obsidian Entertainment,M,"New Vegas,Fallout,Fallout: New Vegas",10/19/2010,113,11251,0.010043552,1517,719,12667,0.056761664,20199
Watch Dogs,PS4,2014,Action,Ubisoft,5.13,5.81,0.33,1.83,13.11,nan,nan,5.533333333,10707,Ubisoft Montreal,M,Watch Dogs,5/27/2014,448,30859,0.014517645,16822,1235,37813,0.032660725,52459
Far Cry 4,PS4,2014,Shooter,Ubisoft,4,6.54,0.29,1.71,12.53,nan,nan,7.316666667,4975,Ubisoft Montreal,M,"Far Cry,Far Cry 4",11/18/2014,220,29614,0.007428919,4934,676,29930,0.022586034,30638
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,2.94,5.22,0.46,1.34,9.97,92,203,9.225,34986,CD Projekt Red Studio,M,"Witcher,Wild Hunt,The Witcher 3,The Witcher 3: Wild Hunt",5/19/2015,393,32297,0.012168313,10096,289,36377,0.00794458,1866
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,4.83,5.37,0.16,1.61,11.97,70.5,149,4.225,6568,"Ubisoft, Ubisoft Montreal",M,"Assassin's Creed: Unity,Unity,Assassin's Creed",11/11/2014,198,28394,0.006973304,4148,749,31177,0.02402412,20551
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,4.03,3.88,0.2,1.43,9.52,82.25,208,6.075,8019,Rocksteady Studios,M,"Batman,Arkham Knight,Batman: Arkham Knight",6/23/2015,301,37749,0.007973721,7428,773,29642,0.026077862,42633
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,4.06,2.32,0.74,0.76,7.9,93,162,8,3916,Nintendo,E10+,"Zelda,The Legend of Zelda,The Legend of Zelda: Skyward Sword,Skyward Sword",11/20/2011,562,48809,0.01151427,11715,435,36838,0.011808459,10756
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,8.2,1.7,0.09,1.86,11.88,nan,nan,5.516666667,945,Visual Concepts,E10+,"NBA,NBA 2K16",9/29/2015,71,31433,0.002258773,1390,65,31978,0.002032647,4394
Nintendogs + cats,3DS,2011,Simulation,Nintendo,2.88,2.82,1.46,0.54,7.7,nan,nan,nan,nan,nan,nan,Nintendogs + cats,3/27/2011,0,18630,0,0,4,24031,0.000166452,3
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,4.26,2.24,0.2,1,7.68,76,128,7.9,208,"SCEA, Zindagi Games",E10+,Sports Champions,9/17/2010,0,11383,0,0,0,11165,0,0
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,4.21,4.23,0.3,1.44,10.17,79.75,194,6.675,6240,Massive Entertainment,M,"Tom Clancy's,Tom Clancy's The Division",3/8/2016,91,32722,0.002781004,192,146,32173,0.004537967,12296
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,2.24,3.74,0.54,0.9,7.44,nan,nan,nan,nan,nan,nan,"Sonic,Mario,Mario & Sonic at the London 2012 Olympic Games",11/15/2011,419,47876,0.008751775,3985,97,38159,0.002541995,1992
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,4.73,4.56,0.27,1.46,11.01,87,112,7.95,2588,Ubisoft,M,"Assassin's Creed IV,Assassin's Creed,Black Flag,Assassin's Creed IV: Black Flag",10/29/2013,95,40147,0.002366304,232,448,52486,0.008535609,24268
Battlefield 4,PS4,2013,Shooter,Electronic Arts,2.7,3.1,0.34,1.02,7.18,85,36,6.9,3160,EA DICE,M,"Battlefield,Battlefield 4",11/15/2013,748,44506,0.016806723,46970,732,50970,0.014361389,30643
Just Dance 2014,Wii,2013,Misc,Ubisoft,5.45,3.59,0,0.94,10.01,nan,nan,6.771428571,232,Ubisoft,E10+,"Just Dance,Just Dance 2014",10/8/2013,7,51400,0.000136187,15,5,40860,0.000122369,5
Assassin's Creed: Brotherhood,Xbox 360,2010,Action,Ubisoft,7.57,1.31,0.17,0.77,9.8,89.33333333,221,8.266666667,2177,Ubisoft Montreal,M,"Assassin's Creed,Assassin's Creed: Brotherhood,Brotherhood",11/16/2010,48,12667,0.003789374,199,134,15009,0.008927977,1255
Battlefield 4,PS3,2013,Shooter,Electronic Arts,5.14,4.72,0.56,1.41,11.81,80,101,5.8,5217,EA DICE,M,"Battlefield,Battlefield 4",10/29/2013,484,40147,0.012055695,24319,134,52486,0.002553062,8476
Battlefield: Bad Company 2,Xbox 360,2010,Shooter,Electronic Arts,5.72,3.65,0.16,1.08,10.61,87.75,255,8.5,3777,EA DICE,M,"Battlefield: Bad Company,Battlefield,Bad Company 2,Battlefield: Bad Company 2",3/2/2010,173,9655,0.017918177,1492,269,11285,0.023836952,3582
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,2.93,3.15,1.21,1.12,8.39,nan,nan,7.62,9113,"Kojima Productions, Moby Dick Studio",M,"MGS,Metal Gear Solid V,The Phantom Pain,Metal Gear Solid V: The Phantom Pain",9/1/2015,218,30375,0.007176955,22612,493,31433,0.015684154,13964
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,3.66,2.1,0.12,0.92,6.78,91,172,8.4,1314,Media Molecule,E,"LittleBigPlanet,LittleBigPlanet 2",1/18/2011,22,16347,0.001345813,254,42,17725,0.002369535,216
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,2.24,4.54,0.14,1.15,8.08,76.66666667,194,6.566666667,3040,Ubisoft Quebec,M,"Assassin's Creed,Assassin's Creed Syndicate",10/23/2015,115,31289,0.003675413,545,170,41357,0.00411055,403
Far Cry 3,PS3,2012,Shooter,Ubisoft,3.36,5.34,0.22,1.74,10.66,89.75,146,8.45,6512,Ubisoft Montreal,M,"Far Cry,Far Cry 3",12/4/2012,404,50133,0.008058564,27000,1099,48413,0.022700514,48458
Gears of War: Ultimate Edition,Xbox One,2015,Shooter,Microsoft Game Studios,5.22,0.66,0,0.68,6.56,82,148,7.5,1126,"Splash Damage, The Coalition",M,"Gears,Ultimate Edition,Gears of War,Gears of War: Ultimate Edition",8/25/2015,50,29349,0.001703636,301,65,32336,0.002010143,342
Madden NFL 16,PS4,2015,Sports,Electronic Arts,8.18,0.76,0,1.7,10.65,nan,nan,5.22,514,EA Sports,E,"Madden,Madden NFL 16,Madden NFL",8/25/2015,58,29349,0.001976217,4643,83,32336,0.002566799,5510
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,1.44,3.34,0.8,0.88,6.46,81,162,7.7,1516,Polyphony Digital,E,"Gran Turismo 6,Gran Turismo",12/6/2013,54,52571,0.001027182,2424,43,42220,0.001018475,2942
Halo: The Master Chief Collection,Xbox One,2014,Shooter,Microsoft Game Studios,3.82,2,0.06,0.58,6.46,85,138,7.2,2534,343 Industries,M,"Halo,Halo: The Master Chief Collection,The Master Chief Collection",11/11/2014,291,28394,0.010248644,14497,457,31177,0.014658242,15493
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,4.06,3.5,0.26,1.22,9.04,89,239,7.733333333,2913,Team Bondi,M,L.A. Noire,5/17/2011,109,23329,0.004672296,1891,377,27160,0.013880707,13273
Mario Party 9,Wii,2012,Misc,Nintendo,2.12,2.18,1.52,0.44,6.26,73,90,6.8,310,Nd Cube,E,"Mario Party 9,Mario Party,Mario",3/11/2012,497,41328,0.012025745,18624,25,42831,0.000583689,467
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,2.8,2.02,0.92,0.46,6.2,91,162,8.9,2114,Nintendo,E,"The Legend of Zelda: A Link Between Worlds,The Legend of Zelda,A Link Between Worlds,Zelda",11/22/2013,244,52068,0.00468618,17496,379,43294,0.0087541,36068
Resident Evil 6,PS3,2012,Shooter,Capcom,2.88,2.48,1.83,0.96,8.15,71.66666667,139,5.266666667,4015,Capcom,M,"Resident Evil 6,Resident Evil",10/2/2012,0,44589,0,0,245,41853,0.005853822,6473
Mass Effect 2,Xbox 360,2010,Role-Playing,Electronic Arts,3.99,1.94,0.06,0.6,6.59,95.33333333,251,8.866666667,9845,BioWare,M,"Mass Effect,Mass Effect 2",1/26/2010,174,8180,0.021271394,2085,277,9219,0.030046643,2486
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,1.02,2.04,2.8,0.24,6.1,66,120,6.9,212,Nintendo,E,"Happy Home Designer,Animal Crossing: Happy Home Designer,Animal Crossing",9/25/2015,16,32127,0.000498023,145,14,31289,0.000447442,5085
The Sims 4,Windows,2014,Simulation,Electronic Arts,2,3.64,0,0.46,6.1,70,148,3.9,4114,Maxis,T,"The Sims,Sims,The Sims 4",9/2/2014,140,30973,0.004520066,9150,343,26981,0.01271265,27881
Borderlands 2,Xbox 360,2012,Shooter,Take-Two Interactive,5.25,2.89,0.18,0.95,9.26,89.5,181,8.2,5124,Gearbox Software,M,"Borderlands,Borderlands 2",9/18/2012,585,46136,0.012679903,29779,2796,42452,0.065862621,126403
Mass Effect 3,Xbox 360,2012,Role-Playing,Electronic Arts,4.91,2.68,0.09,0.8,8.47,92,201,5.65,15225,BioWare,M,"Mass Effect,Mass Effect 3",3/6/2012,1032,40589,0.025425608,18214,2013,42792,0.047041503,47373
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,2.58,2.42,0.12,0.94,6.06,87,214,7.7,5518,Quantic Dream,M,Heavy Rain,2/23/2010,66,9219,0.007159128,227,113,11117,0.010164613,1232
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,4.08,1.26,0.24,0.44,6,73,156,7,262,Junction Point,E,Epic Mickey,11/30/2010,28,14151,0.001978659,89,19,15553,0.001221629,228
NBA 2K13,Xbox 360,2012,Sports,Take-Two Interactive,7.36,0.9,0.07,0.69,9.02,nan,nan,7.38,414,Visual Concepts,E,"NBA,NBA 2K13",10/2/2012,33,44589,0.000740093,50,53,41853,0.001266337,1088
Star Wars: The Old Republic,Windows,2011,Role-Playing,Electronic Arts,3.16,2.02,0,0.76,5.92,85,146,5.9,5496,"LucasArts, BioWare",T,"The Old Republic,Star Wars,Star Wars: The Old Republic",12/20/2011,220,37295,0.005898914,957,219,41494,0.005277871,2885
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,2.87,3.56,0.11,1.09,7.62,84.75,199,8.05,6028,Monolith Productions,M,"Middle-Earth: Shadow of Mordor,Middle-Earth,Shadow of Mordor",9/30/2014,25,26981,0.000926578,47,681,26903,0.025313162,32567
Titanfall,Xbox One,2014,Shooter,Electronic Arts,3.9,1.9,0.08,0.58,6.46,86,165,6.333333333,7043,Respawn Entertainment,M,Titanfall,3/11/2014,1519,40437,0.037564607,34601,1063,36422,0.029185657,31871
Madden NFL 13,Xbox 360,2012,Sports,Electronic Arts,7.45,0.52,0,0.59,8.58,77,100,6.1,497,EA Tiburon,E,"Madden,Madden NFL,Madden NFL 13",8/30/2012,92,49328,0.001865066,6447,119,45162,0.002634959,4489
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,2.14,2.62,0.12,0.84,5.7,83,58,7.8,3060,Ubisoft,M,"Assassin's Creed IV,Assassin's Creed,Black Flag,Assassin's Creed IV: Black Flag",11/15/2013,59,44506,0.001325664,6127,311,50970,0.006101628,17096
Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,3.02,2.06,0,0.54,5.62,nan,nan,0,nan,"Majesco Games, Majesco",T,"Zumba Fitness,Zumba Fitness 2",11/15/2011,0,47876,0,0,1,38159,2.62E-05,1
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,2.56,1.96,0.14,0.92,5.58,80,180,7.9,5888,Sucker Punch,T,"Second Son,inFAMOUS: Second Son,inFAMOUS",3/21/2014,156,37817,0.004125129,10238,443,34489,0.012844675,22602
Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,3.99,3.22,0,0.92,8.14,nan,nan,4.933333333,234,Toys for Bob,E10+,"Skylanders: Spyro's Adventure,Skylanders,Spyro's Adventure",10/16/2011,5,28645,0.000174551,6,21,46217,0.000454378,44
