Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date,mentions before,total posts before,normalized mentions before,upvotes before,mentions after,total posts after,normalized mentions after,upvotes after,month
Kinect Adventures!,Xbox 360,2010,Misc,Microsoft Game Studios,30.0,9.78,0.48,3.38,43.62,61.0,90.0,6.3,212.0,Good Science Studio,E,Kinect Adventures!,11/4/2010,1,11812,8.47e-05,0,5,14316,0.00034926,5,Nov
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",9/17/2013,4139,51787,0.079923533,242380,8879,45095,0.196895443,417227,Sep
Grand Theft Auto V,Xbox 360,2013.0,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",9/17/2013,4139,51787,0.079923533,242380,8879,45095,0.196895443,417227,Sep
Call of Duty: Modern Warfare 3,Xbox 360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3",11/8/2011,744,39780,0.018702866,7774,1111,44288,0.025085802,10434,Nov
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3",11/8/2011,744,39780,0.018702866,7774,1111,44288,0.025085802,10434,Nov
Call of Duty: Modern Warfare 3,Windows,2011.0,Shooter,Activision,0.41,0.98,0.0,0.32,1.72,78.0,26.0,2.5,5664.0,"Infinity Ward, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3",11/8/2011,744,39780,0.018702866,7774,1111,44288,0.025085802,10434,Nov
Call of Duty: Black Ops,Xbox 360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD",11/9/2010,370,12211,0.030300549,5790,1030,14450,0.071280277,10813,Nov
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD",11/9/2010,370,12211,0.030300549,5790,1030,14450,0.071280277,10813,Nov
Call of Duty: Black Ops,Wii,2010.0,Shooter,Activision,0.8,0.45,0.0,0.12,1.37,80.0,25.0,5.8,87.0,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD",11/9/2010,370,12211,0.030300549,5790,1030,14450,0.071280277,10813,Nov
Call of Duty: Black Ops,DS,2010.0,Shooter,Activision,0.5,0.04,0.0,0.04,0.58,74.0,13.0,6,54.0,n-Space,T,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD",11/9/2010,370,12211,0.030300549,5790,1030,14450,0.071280277,10813,Nov
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II",11/13/2012,462,45426,0.010170387,8942,639,49978,0.012785626,20107,Nov
Call of Duty: Black Ops II,Xbox 360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II",11/13/2012,462,45426,0.010170387,8942,639,49978,0.012785626,20107,Nov
Call of Duty: Black Ops II,Windows,2012.0,Shooter,Activision,0.64,0.69,0.0,0.19,1.53,74.0,11.0,4.2,1635.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II",11/13/2012,462,45426,0.010170387,8942,639,49978,0.012785626,20107,Nov
Call of Duty: Black Ops II,Wii U,2012.0,Shooter,Activision,0.2,0.18,0.0,0.03,0.41,81.0,31.0,6.9,228.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II",11/13/2012,462,45426,0.010170387,8942,639,49978,0.012785626,20107,Nov
