,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords
0,Kinect Adventures!,Xbox 360,2010.0,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,Kinect Adventures!
1,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA"
2,Grand Theft Auto V,Xbox 360,2013.0,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA"
3,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,,,,,,,"Pokemon Black/Pokemon White,Pokemon"
4,Call of Duty: Modern Warfare 3,Xbox 360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3"
5,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,,"Call of Duty: Black Ops 3,Call of Duty: Black Ops,Black Ops 3,Call of Duty,CoD"
6,Call of Duty: Black Ops,Xbox 360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD"
7,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,,"Pokemon,Pokemon X/Pokemon Y"
8,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II"
9,Call of Duty: Black Ops II,Xbox 360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II"
