,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date
0,0,Kinect Adventures!,Xbox 360,2010.0,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,Kinect Adventures!,11/4/2010
1,1,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",9/17/2013
2,2,Grand Theft Auto V,Xbox 360,2013.0,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",9/17/2013
4,4,Call of Duty: Modern Warfare 3,Xbox 360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3",11/8/2011
6,6,Call of Duty: Black Ops,Xbox 360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD",11/9/2010
8,8,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II",11/13/2012
9,9,Call of Duty: Black Ops II,Xbox 360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II",11/13/2012
10,10,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3",11/8/2011
11,11,Mario Kart 7,3DS,2011.0,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,"Mario Kart 7,Mario,Mario Kart",12/4/2011
12,12,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD",11/9/2010
13,13,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",11/18/2014
14,14,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,,"Pokemon Omega Ruby/Pokemon Alpha Sapphire,Pokemon",11/21/2014
15,15,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,"Super Mario 3D Land,Mario",11/13/2011
16,16,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,"Gran Turismo 5,Gran Turismo",11/24/2010
17,17,Call of Duty: Ghosts,Xbox 360,2013.0,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013
18,18,Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,"Just Dance 3,Just Dance",10/7/2011
19,19,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,"New Super Mario Bros. 2,New Super Mario Bros.,Mario",8/17/2012
20,20,Halo: Reach,Xbox 360,2010.0,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,"Halo,Reach,Halo: Reach",9/14/2010
21,21,Halo 4,Xbox 360,2012.0,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7,3260.0,343 Industries,M,"Halo,Halo 4",11/6/2012
22,22,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,"Just Dance,Just Dance 2",10/12/2010
23,23,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013
26,26,The Elder Scrolls V: Skyrim,Xbox 360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V",11/11/2011
27,27,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,"FIFA,FIFA 16",9/22/2015
29,29,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012
30,30,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,,"Pokemon Black 2/Pokemon White 2,Pokemon,Pokemon Black 2/Pokemon White",10/12/2012
31,31,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,,"Star Wars Battlefront (2015),Star Wars,Star Wars Battlefront",11/17/2015
33,33,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5,398.0,"EA Sports, EA Vancouver",E,"FIFA,FIFA 17",9/27/2016
35,35,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,"Super Mario Galaxy,Super Mario Galaxy 2,Mario",5/23/2010
37,37,Battlefield 3,Xbox 360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,"Battlefield 3,Battlefield",10/25/2011
38,38,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,"Battlefield 3,Battlefield",10/25/2011
39,39,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,"Fallout 4,Fallout",11/10/2015
40,40,Pokemon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,,,,,,,"Pokemon,Pokemon Sun/Moon",11/18/2016
42,42,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,"Just Dance 4,Just Dance",10/9/2012
43,43,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,T,"Uncharted 3,Drake's Deception,Uncharted 3: Drake's Deception",11/1/2011
45,45,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,,,"FIFA,FIFA 12",9/27/2011
46,46,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,"Red Dead,Red Dead Redemption",5/18/2010
48,48,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M,"Assassin's Creed,Assassin's Creed III",10/30/2012
49,49,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,E,"Donkey Kong,Donkey Kong Country Returns",11/21/2010
50,50,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V",11/11/2011
51,51,Red Dead Redemption,Xbox 360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9,2316.0,Rockstar San Diego,M,"Red Dead,Red Dead Redemption",5/18/2010
52,52,Gears of War 3,Xbox 360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Epic Games,M,"Gears of War 3,Gears of War,Gears",9/20/2011
53,53,Kinect Sports,Xbox 360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,E10+,Kinect Sports,10/9/2010
54,54,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014
55,55,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,Naughty Dog,M,The Last of Us,6/14/2013
56,56,Destiny,PS4,2014.0,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",T,Destiny,9/9/2014
57,57,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,T,"Batman,Batman: Arkham City,Arkham City",10/18/2011
58,58,Grand Theft Auto V,Xbox One,2014.0,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",11/18/2014
59,59,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Naughty Dog,T,"A Thief's End,Uncharted 4: A Thief's End,Uncharted 4",5/10/2016
60,60,Assassin's Creed III,Xbox 360,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,M,"Assassin's Creed,Assassin's Creed III",10/30/2012
64,64,New Super Mario Bros. U,Wii U,2012.0,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,Nintendo,E,"Mario,New Super Mario Bros. U",11/18/2012
65,65,FIFA Soccer 13,Xbox 360,2012.0,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012
66,66,Diablo III,Windows,2012.0,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4,9629.0,Blizzard Entertainment,M,"Diablo III,Diablo",5/15/2012
67,67,Fable III,Xbox 360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,Lionhead Studios,M,"Fable,Fable III",10/26/2010
68,68,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8,233.0,EA Sports,E,"FIFA Soccer,FIFA Soccer 11",9/28/2010
70,70,StarCraft II: Wings of Liberty,Windows,2010.0,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,Blizzard Entertainment,T,"StarCraft II,StarCraft II: Wings of Liberty,Wings of Liberty",7/27/2010
71,71,God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,SCE Santa Monica,M,"God of War,God of War III",3/16/2010
72,72,Batman: Arkham City,Xbox 360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,Rocksteady Studios,T,"Batman,Batman: Arkham City,Arkham City",10/18/2011
75,75,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0,Next Level Games,E,"Dark Moon,Luigi's Mansion,Luigi's Mansion: Dark Moon",3/24/2013
76,76,Forza Motorsport 4,Xbox 360,2011.0,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617.0,Turn 10,E,"Forza Motorsport,Forza Motorsport 4",10/13/2011
77,77,Halo 5: Guardians,Xbox One,2015.0,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438.0,343 Industries,T,"Halo,Halo 5: Guardians,Halo 5,Guardians",10/27/2015
78,78,Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0,Infinity Ward,M,"Infinite Warfare,Call of Duty: Infinite Warfare,CoD,Call of Duty",11/4/2016
79,79,Splatoon,Wii U,2015.0,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,Nintendo,E10+,Splatoon,5/29/2015
80,80,Nintendo Land,Wii U,2012.0,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0,Nintendo,E10+,Nintendo Land,11/18/2012
81,81,Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,"Ubisoft Paris, Ubisoft Montpellier",E10+,"The Experience,Michael Jackson,Michael Jackson: The Experience",11/6/2010
85,85,Minecraft,PS4,2014.0,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32,,,,,,,Minecraft,9/4/2014
87,87,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.58,3.02,0.04,0.64,4.28,,,4.5,109.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014
