,Unnamed: 0,Unnamed: 0.1,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date
0,0,0,Kinect Adventures!,Xbox 360,2010.0,Misc,Microsoft Game Studios,30.0,9.78,0.48,3.38,43.62,61.0,90.0,6.3,212.0,Good Science Studio,E,Kinect Adventures!,11/4/2010
1,1,1,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,23.7,23.32,2.02,9.33,58.349999999999994,97.0,158.0,8.166666666666666,11699.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",9/17/2013
3,4,4,Call of Duty: Modern Warfare 3,Xbox 360,2011.0,Shooter,Activision,24.029999999999998,15.190000000000001,0.75,4.53,44.5,85.5,227.0,3.125,28324.0,"Infinity Ward, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3",11/8/2011
4,6,6,Call of Duty: Black Ops,Xbox 360,2010.0,Shooter,Activision,26.69,12.219999999999999,0.7,4.21,43.8,83.2,274.0,6.16,4143.0,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD",11/9/2010
5,8,8,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,19.07,16.57,1.37,6.180000000000001,43.19,80.8,157.0,5.3,5963.0,Treyarch,M,"Call of Duty: Black Ops,Call of Duty,CoD,Call of Duty: Black Ops II,Black Ops II",11/13/2012
8,11,11,Mario Kart 7,3DS,2011.0,Racing,Nintendo,10.06,8.04,5.38,1.82,25.32,85.0,146.0,8.2,1264.0,"Retro Studios, Entertainment Analysis & Development Division",E,"Mario Kart 7,Mario,Mario Kart",12/4/2011
10,13,13,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,10.73,14.809999999999999,0.76,4.41,30.7,97.0,146.0,8.166666666666666,6562.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",11/18/2014
11,14,14,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,8.7,6.98,6.2,1.48,23.36,,,,,,,"Pokemon Omega Ruby/Pokemon Alpha Sapphire,Pokemon",11/21/2014
12,15,15,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,9.78,6.0,4.28,1.56,21.62,90.0,164.0,8.4,1842.0,Nintendo,E,"Super Mario 3D Land,Mario",11/13/2011
13,16,16,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,5.92,9.64,1.62,4.22,21.4,84.0,164.0,7.5,2224.0,Polyphony Digital,E,"Gran Turismo 5,Gran Turismo",11/24/2010
14,17,17,Call of Duty: Ghosts,Xbox 360,2013.0,Shooter,Activision,21.67,11.45,0.52,3.9899999999999998,37.650000000000006,,,,,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013
15,18,18,Just Dance 3,Wii,2011.0,Misc,Ubisoft,13.700000000000001,6.81,0.0,2.37,22.88,73.25,69.0,7.325,56.0,Ubisoft,E10+,"Just Dance 3,Just Dance",10/7/2011
16,19,19,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,7.32,6.28,4.94,1.26,19.8,78.0,140.0,7.2,848.0,Nintendo,E,"New Super Mario Bros. 2,New Super Mario Bros.,Mario",8/17/2012
17,20,20,Halo: Reach,Xbox 360,2010.0,Shooter,Microsoft Game Studios,14.08,3.9,0.16,1.58,19.72,91.0,198.0,7.9,4090.0,Bungie,M,"Halo,Reach,Halo: Reach",9/14/2010
18,21,21,Halo 4,Xbox 360,2012.0,Shooter,Microsoft Game Studios,13.3,4.56,0.08,1.48,19.42,87.0,174.0,7.0,6520.0,343 Industries,M,"Halo,Halo 4",11/6/2012
19,22,22,Just Dance 2,Wii,2010.0,Misc,Ubisoft,11.6,5.7,0.02,1.56,18.88,74.0,48.0,7.3,48.0,Ubisoft,E10+,"Just Dance,Just Dance 2",10/12/2010
21,26,26,The Elder Scrolls V: Skyrim,Xbox 360,2011.0,Role-Playing,Bethesda Softworks,13.809999999999999,10.3,0.45,3.3000000000000003,27.869999999999997,94.5,226.0,7.825000000000001,18778.0,Bethesda Game Studios,M,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V",11/11/2011
22,27,27,FIFA 16,PS4,2015.0,Sports,Electronic Arts,4.17,17.209999999999997,0.16999999999999998,3.3299999999999996,24.87,,,3.9166666666666665,2650.0,EA Sports,E,"FIFA,FIFA 16",9/22/2015
